Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Tampa Bay Lightning,1996,32,40,0.4444444444444444,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1996,30,44,0.40540540540540543,Scotiabank Arena,"Toronto, Ontario",18819
Vancouver Canucks,1996,35,40,0.4666666666666667,Rogers Arena,"Vancouver, British Columbia",18910
Washington Capitals,1996,33,40,0.4520547945205479,Capital One Arena,"Washington, D.C.",18506
Anaheim Ducks,1997,26,43,0.37681159420289856,Honda Center,"Anaheim, California",17174
Boston Bruins,1997,39,30,0.5652173913043478,TD Garden,"Boston, Massachusetts",17565
Buffalo Sabres,1997,36,29,0.5538461538461539,KeyBank Center,"Buffalo, New York",19070
Calgary Flames,1997,26,41,0.3880597014925373,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,1997,33,41,0.44594594594594594,PNC Arena,"Raleigh, North Carolina",18680
Chicago Blackhawks,1997,30,39,0.43478260869565216,United Center,"Chicago, Illinois",19717
Colorado Avalanche,1997,39,26,0.6,Pepsi Center,"Denver, Colorado",17809
Dallas Stars,1997,49,22,0.6901408450704225,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,1997,44,23,0.6567164179104478,Little Caesars Arena,"Detroit, Michigan",19515
Edmonton Oilers,1997,35,37,0.4861111111111111,Rogers Place,"Edmonton, Alberta",18347
Florida Panthers,1997,24,43,0.3582089552238806,BB&T Center,"Sunrise, Florida",19250
Los Angeles Kings,1997,38,33,0.5352112676056338,Staples Center,"Los Angeles, California",18230
Montreal Canadiens,1997,37,32,0.5362318840579711,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,1997,48,23,0.676056338028169,Prudential Center,"Newark, New Jersey",16514
New York Islanders,1997,30,41,0.4225352112676056,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,1997,30,41,0.4225352112676056,Barclays Center,"Brooklyn, New York",15795
New York Rangers,1997,25,39,0.390625,Madison Square Garden,"New York City, New York",18006
Ottawa Senators,1997,34,33,0.5074626865671642,Canadian Tire Centre,"Ottawa, Ontario",17373
Philadelphia Flyers,1997,42,29,0.5915492957746479,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Pittsburgh Penguins,1997,40,24,0.625,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
San Jose Sharks,1997,34,38,0.4722222222222222,SAP Center,"San Jose, California",17562
St. Louis Blues,1997,45,29,0.6081081081081081,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,1997,17,55,0.2361111111111111,Amalie Arena,"Tampa, Florida",19092
Toronto Maple Leafs,1997,30,43,0.410958904109589,Scotiabank Arena,"Toronto, Ontario",18819
